activation,model_type,corruption_mode,p,sigma,seed,train_loss,test_loss,test_accuracy,brightness_scale,mlp_hidden_sizes
gelu,mlp,replacement,0.6000000000000001,0.0,82681546,0.3401590113004049,0.1670678715427406,0.9616,1.0,"[128, 128]"
gelu,mlp,replacement,0.6000000000000001,0.0,186098703,0.3450847505728404,0.13262439333917572,0.9675,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,460386947,0.4477893462498983,0.17609385158256627,0.9582,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,459432228,0.4535141461054484,0.20823565364722163,0.9478,1.0,"[128, 128]"
gelu,mlp,replacement,0.6000000000000001,0.0,774377808,0.3478365719159444,0.1545636559747858,0.9622,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,578721392,0.45854983655611675,0.18988893605938648,0.9578,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,509866483,0.4534060938676198,0.1770087352096103,0.9599,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,664505411,0.45303713030815124,0.1798110833606217,0.9582,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,147700249,0.45700264169375104,0.320216512273252,0.9297,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,773231613,0.45541750113169355,0.6484346127808094,0.8945,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,137154224,0.4468050254821777,0.7289836030960083,0.8794,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,344848705,0.44559493452707927,0.2125719410419464,0.9478,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,300502454,0.4526704867362976,0.49734139161109925,0.9161,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,397519024,0.44926135703722636,0.19642177839279173,0.9542,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,132885139,0.450500819794337,0.5050188140392303,0.9006,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,438943142,0.4489523523171743,0.18641742214206605,0.9563,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,892104836,0.45058679192860923,0.18387352080028505,0.9557,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,987666169,0.45426680267651875,0.18666102515663952,0.9566,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,184416894,0.44390739828745523,0.3311641618072987,0.9209,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,419784257,0.449431979227066,2.013364965057373,0.8649,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,661896681,0.44613395215670265,0.18136651680069044,0.9559,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,432939997,0.4445110999266307,0.19938729839258595,0.9585,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,78675238,0.4482752971013387,0.19361176629220136,0.9547,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,272990621,0.45192454682985944,0.168780261278525,0.9571,1.0,"[128, 128]"
gelu,mlp,replacement,0.65,0.0,298420301,0.4537524678548177,0.21330336440652609,0.9485,1.0,"[128, 128]"
